,ID,SMILES,graph_file
46,pubchem:3349,C1C(OC2=C(C13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N,graph_pubchem:3349
47,pubchem:3350,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,graph_pubchem:3350
48,pubchem:3351,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl,graph_pubchem:3351
49,pubchem:3352,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,graph_pubchem:3352
50,pubchem:3353,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CCOC(=O)NCC4=CC=CC=C4)O)C)C(=CC5CCC(C(C5)OC)O)C)O)C)OC)OC,graph_pubchem:3353
51,pubchem:3354,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4,graph_pubchem:3354
52,pubchem:3355,C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,graph_pubchem:3355
53,pubchem:3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,graph_pubchem:3356
54,pubchem:3357,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,graph_pubchem:3357
55,pubchem:3358,COC1=CC2=C(C=C1)NC3=C2C4=C(C=C3)C=C[N+](=C4)CC[NH2+]CCCCCC[NH2+]CC[N+]5=CC6=C(C=CC7=C6C8=C(N7)C=CC(=C8)OC)C=C5,graph_pubchem:3358
56,pubchem:3359,COC1=CC2=C(C=C1)NC3=C2C4=C(C=C3)C=C[N+](=C4)CCNCCCCCCNCC[N+]5=CC6=C(C=CC7=C6C8=C(N7)C=CC(=C8)OC)C=C5,graph_pubchem:3359
57,pubchem:3360,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F,graph_pubchem:3360
58,pubchem:3361,COC1(C2N(C1=O)C(=C(CO2)CSC3=NN=NN3CCO)C(=O)O)NC(=O)CSCF,graph_pubchem:3361
59,pubchem:3362,CCC(=O)C1=C(C=C(C=C1O)O)O,graph_pubchem:3362
60,pubchem:3363,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,graph_pubchem:3363
61,pubchem:3364,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,graph_pubchem:3364
62,pubchem:3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,graph_pubchem:3365
63,pubchem:3366,C1=NC(=O)NC(=C1F)N,graph_pubchem:3366
64,pubchem:3367,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,graph_pubchem:3367
65,pubchem:3368,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)(O)O)O)O)F)N,graph_pubchem:3368
66,pubchem:3369,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,graph_pubchem:3369
